address,chain,name,symbol,totalSupply,circulatingSupply,image,"Oct 10, 24","Oct 11, 24","Oct 12, 24","Oct 13, 24","Oct 14, 24","Oct 15, 24","Oct 16, 24","Oct 17, 24","Oct 18, 24","Oct 19, 24","Oct 20, 24","Oct 21, 24","Oct 22, 24","Oct 23, 24","Oct 24, 24","Oct 25, 24","Oct 26, 24","Oct 27, 24","Oct 28, 24","Oct 29, 24","Oct 30, 24","Oct 31, 24","Nov 01, 24","Nov 02, 24","Nov 03, 24","Nov 04, 24","Nov 05, 24","Nov 06, 24","Nov 07, 24","Nov 08, 24","Nov 09, 24","Nov 10, 24","Nov 11, 24","Nov 12, 24","Nov 13, 24","Nov 14, 24","Nov 15, 24","Nov 16, 24","Nov 17, 24","Nov 18, 24","Nov 19, 24","Nov 20, 24","Nov 21, 24","Nov 22, 24","Nov 23, 24","Nov 24, 24","Nov 25, 24","Nov 26, 24","Nov 27, 24","Nov 28, 24","Nov 29, 24","Nov 30, 24","Dec 01, 24","Dec 02, 24","Dec 03, 24","Dec 04, 24","Dec 05, 24","Dec 06, 24","Dec 07, 24","Dec 08, 24","Dec 09, 24","Dec 10, 24","Dec 11, 24","Dec 12, 24","Dec 13, 24","Dec 14, 24","Dec 15, 24","Dec 16, 24","Dec 17, 24","Dec 18, 24","Dec 19, 24","Dec 20, 24","Dec 21, 24","Dec 22, 24","Dec 23, 24","Dec 24, 24","Dec 25, 24","Dec 26, 24","Dec 27, 24","Dec 28, 24","Dec 29, 24","Dec 30, 24","Dec 31, 24","Jan 01, 25","Jan 02, 25","Jan 03, 25","Jan 04, 25","Jan 05, 25","Jan 06, 25","Jan 07, 25"
74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,solana,swarms,swarms,999984474.619609,999984830.56,https://token-media.defined.fi/1399811149_74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump_1736216187_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,35.4,29.3,28.8,23.5,26.2,24.1,13.6,18.0,27.3,39.9,71.1,75.2,88.1,173.2,192.6,347.7,301.8,448.8,489.8,427.2
HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,solana,Alchemist AI,ALCH,999994130.023905,850000000,https://token-media.defined.fi/1399811149_HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump_1735895764_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,13.0,21.4,35.1,62.2,54.7,45.4,34.1,58.2,77.8,90.5,89.1,90.2,127.5,111.1,118.4,103.0,84.2,89.4,85.9,80.1,57.3,41.7,42.9,30.7,44.8,44.4,63.8,86.6,67.6,58.2,71.8,55.4,65.6,94.7,143.0,165.4,147.8,145.6,136.6,141.7,171.3,164.6
DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,solana,Ava AI,AVA,999993471.624246,999993471.72972,https://token-media.defined.fi/1399811149_DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump_1735791387_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,10.8,61.1,42.2,66.2,84.7,57.2,47.9,50.7,78.6,63.2,86.2,56.1,74.1,48.0,41.5,42.9,46.7,59.7,39.6,48.4,40.2,51.3,50.8,45.2,43.6,33.1,26.9,24.7,26.8,24.9,18.8,19.3,24.6,27.4,18.4,15.0,14.1,21.2,16.0,19.9,20.6,18.8,27.5,38.8,41.6,37.8,38.1,53.2,63.3,104.8,130.7,140.9,171.0,179.8,180.5,170.3
86t88w3MKT38HChTBKBwEeb1RW1MeTceaW68qY2Vpump,solana,LIMITUS,LMT,999986887.045443,830139202.523955,https://token-media.defined.fi/1399811149_86t88w3MKT38HChTBKBwEeb1RW1MeTceaW68qY2Vpump_1736291813_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,3.2,21.5,11.8,11.6,24.9,22.4,19.7,17.7,26.1,26.4,27.5,36.3,35.8,53.9,77.1,64.4,66.2,60.1,52.6,61.5,77.4,74.8,69.1,65.8,70.1,73.6,115.7,114.8,94.6,110.7,135.9,147.0,137.5,134.1,131.9,122.7
0xb33Ff54b9F7242EF1593d2C9Bcd8f9df46c77935,base,FAI,FAI,8189700000,8189700000,https://token-media.defined.fi/8453_0xb33ff54b9f7242ef1593d2c9bcd8f9df46c77935_1735802162_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,8.8,46.0,28.8,21.8,16.6,28.3,21.8,29.9,40.1,35.3,29.1,27.5,30.8,43.7,43.8,49.3,57.2,52.1,68.3,96.7,119.2,126.9,171.5,195.5,188.6,228.1,217.3,216.0,188.3,179.7,231.6,235.7,223.8,266.7,370.8,377.1,414.7,545.0,635.8,615.0,558.7,527.8
0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,base,aixbt by Virtuals,AIXBT,998914867.384139147138361299,1000000000,https://token-media.defined.fi/8453_0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825_1735798606_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.5,1.5,5.3,8.8,13.7,15.8,28.2,31.0,35.3,39.7,50.0,44.0,48.7,44.8,61.1,89.5,131.3,199.0,207.0,203.9,199.2,225.6,283.1,210.6,211.3,218.3,197.2,181.4,156.9,188.0,220.8,186.3,227.8,247.7,305.1,241.4,226.2,230.0,260.5,341.9,302.3,272.8,331.9,307.2,355.3,353.4,359.0,413.6,497.4,532.3,602.3,570.6,509.3,511.5,513.9,491.4,548.3,472.6,454.2
0x1C4CcA7C5DB003824208aDDA61Bd749e55F463a3,base,GAME by Virtuals,GAME,999779370.712097075583741338,1000000000,https://token-media.defined.fi/8453_0x1c4cca7c5db003824208adda61bd749e55f463a3_1735791387_large.png,0,0,0,0,0,0.4,0.2,0.2,0.5,0.7,1.2,1.2,2.3,4.0,9.0,10.9,16.0,9.5,8.1,6.1,5.6,9.2,7.1,6.0,5.5,5.6,4.8,5.0,4.3,2.4,2.5,3.6,3.4,2.5,2.6,4.9,4.2,3.7,3.0,2.8,5.7,8.1,5.4,5.9,5.5,6.3,13.9,17.9,42.2,44.1,50.5,40.7,30.5,48.3,49.2,42.9,51.8,56.2,52.7,44.7,47.2,68.2,77.6,85.3,83.5,95.1,112.2,99.0,101.1,93.9,129.8,136.2,157.1,260.1,243.9,257.7,301.4,332.5,297.2,250.7,259.4,345.3,368.8,294.0,276.9,265.9,210.4,227.2,222.4,222.2
0x55cD6469F597452B5A7536e2CD98fDE4c1247ee4,base,Luna by Virtuals,LUNA,998493080.203940838204986252,1000000000,https://token-media.defined.fi/8453_0x55cd6469f597452b5a7536e2cd98fde4c1247ee4_1735795025_large.png,0,0,0,0,0,6.4,4.1,7.7,13.4,11.1,36.2,33.5,41.2,46.2,162.9,184.6,232.2,153.1,127.5,102.7,110.4,142.4,122.4,106.3,81.6,92.5,80.5,99.3,69.4,58.6,53.5,82.7,84.1,57.3,69.6,104.1,97.7,76.8,59.5,53.4,54.2,47.8,39.0,48.0,42.7,45.2,60.1,78.4,77.7,86.1,112.2,74.1,59.7,71.1,76.1,70.8,75.8,69.8,69.3,58.4,54.7,71.6,86.7,87.0,78.7,83.7,102.6,83.7,76.4,72.3,89.1,88.1,85.2,113.7,128.2,122.6,103.2,103.0,94.6,135.1,120.4,155.8,165.6,136.5,129.2,122.3,105.2,106.5,92.8,91.1
0x731814e491571A2e9eE3c5b1F7f3b962eE8f4870,base,VaderAI by Virtuals,VADER,996739513.197730759543222706,996739513.1977307,https://token-media.defined.fi/8453_0x731814e491571a2e9ee3c5b1f7f3b962ee8f4870_1736198174_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.6,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,3.8,2.8,1.5,7.6,7.9,10.6,8.6,8.2,7.2,5.4,5.1,13.8,19.7,34.9,47.0,37.0,29.5,27.1,53.7,35.5,34.2,29.7,36.2,36.3,28.7,24.1,27.7,23.2,40.6,41.9,43.3,38.1,29.8,28.8,27.3,31.5,32.8,39.6,50.0,64.3,69.7,78.4,82.9,103.1,93.8,101.5,112.2,142.9,118.6,101.4,113.1,95.6,99.3,80.8,81.8
0x76C71F1703Fbf19FFdcF3051E1e684Cb9934510f,base,aixCB by Virtuals,AIXCB,993506898.70589179829182024,993506898.7058917,https://token-media.defined.fi/8453_0x76c71f1703fbf19ffdcf3051e1e684cb9934510f_1735795025_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,5.2,5.9,4.8,6.7,6.9,8.1,8.5,8.1,8.2,7.2,9.5,14.5,12.2,16.9,15.4,14.9,26.4,51.3,60.2,61.3,46.6,82.0,104.3,87.4,85.4,77.5,63.4,69.8,71.1,67.8
